userId,debt_level,savings_rate,investment_experience,financial_stress_level
1,High,Medium,Intermediate,Medium
2,,,,
3,Medium,High,Intermediate,Medium
4,,,,
5,High,Medium,Intermediate,Medium
6,High,Low,Beginner,Medium
7,Medium,Low,Intermediate,High
8,High,High,Beginner,Low
9,High,Low,Intermediate,
10,High,Medium,Intermediate,Medium
11,,Low,Intermediate,Medium
12,,Medium,,Medium
13,Low,Low,Intermediate,
14,,Medium,Beginner,High
15,Medium,Low,,High
16,Medium,High,Beginner,High
17,,Medium,Intermediate,High
18,Medium,Low,Intermediate,High
19,,Medium,Intermediate,Medium
20,Low,Low,Intermediate,Medium
21,Low,Low,Beginner,Medium
22,Low,Medium,Intermediate,
23,,,,
24,,,,
25,High,High,Beginner,
26,Medium,High,Beginner,
27,High,,Beginner,High
28,Low,Low,Intermediate,High
29,High,Medium,Beginner,Medium
30,High,,Beginner,Medium
31,High,High,Beginner,Medium
32,High,Low,Beginner,High
33,,,,
34,Low,,Intermediate,Low
35,Medium,High,Beginner,
36,,,,
37,Low,Medium,Intermediate,Medium
38,High,High,Beginner,
39,Low,Medium,Intermediate,Medium
40,,,,
41,Low,Medium,Intermediate,
42,Low,Medium,Beginner,High
43,,Medium,Intermediate,Low
44,High,High,Intermediate,Low
45,Low,Low,Intermediate,
46,,Low,Intermediate,Medium
47,Low,Low,Beginner,
48,Medium,High,Intermediate,High
49,High,,Intermediate,Medium
50,Low,Low,Beginner,Low
51,Medium,Low,Beginner,Medium
52,Low,High,Beginner,Low
53,Medium,Low,Intermediate,Medium
54,High,High,Beginner,High
55,Medium,High,,Low
56,High,Medium,Intermediate,Medium
57,Medium,Low,Intermediate,
58,,,,
59,High,Low,Intermediate,Low
60,,,,
61,,High,Intermediate,Medium
62,Low,High,Beginner,High
63,High,Low,Beginner,High
64,Low,High,Beginner,Medium
65,Medium,High,Intermediate,Low
66,,,,
67,Low,Low,Beginner,High
68,,,,
69,,,Intermediate,Medium
70,Medium,Medium,Intermediate,High
71,,,,
72,,,,
73,Low,High,,Low
74,Low,,Intermediate,Low
75,High,,,Medium
76,Medium,Low,Beginner,High
77,High,Low,Intermediate,Medium
78,,,,
79,,,,
80,Medium,Medium,,Low
81,High,Medium,Intermediate,High
82,Medium,,Intermediate,Medium
83,Low,High,Beginner,Medium
84,Medium,High,Beginner,Low
85,Low,Medium,Beginner,Medium
86,High,High,,Low
87,High,Medium,,Low
88,Medium,High,Intermediate,Medium
89,,High,,High
90,High,High,Intermediate,High
91,,,,
92,Low,High,Beginner,Medium
93,High,High,Intermediate,High
94,Medium,High,,Medium
95,Medium,Low,Beginner,High
96,Medium,High,Beginner,Low
97,Low,Medium,Intermediate,Low
98,Medium,Medium,Intermediate,Low
99,,,,
100,,,,
101,Low,Medium,Beginner,Low
102,High,Medium,Beginner,Medium
103,High,High,Intermediate,High
104,Low,High,Beginner,
105,Medium,Medium,Beginner,Low
106,,,,
107,Low,Low,,Medium
108,High,Low,,Low
109,Low,High,,Low
110,Low,Medium,Intermediate,
111,Low,High,Intermediate,Low
112,,Low,Intermediate,High
113,Medium,Low,Intermediate,High
114,Low,High,Intermediate,Low
115,,Medium,Intermediate,High
116,Low,Medium,Beginner,Medium
117,Low,Medium,Beginner,Medium
118,High,Low,Intermediate,Low
119,High,Low,Beginner,
120,Low,Medium,Beginner,High
121,Medium,Medium,Intermediate,Low
122,Medium,Low,,Medium
123,,,,
124,Low,Low,Intermediate,
125,Medium,Medium,Beginner,Medium
126,,Medium,Intermediate,Medium
127,,,,
128,High,High,,Medium
129,,,,
130,Low,Medium,Intermediate,High
131,,,,
132,Low,High,Beginner,
133,Medium,Low,Beginner,Medium
134,High,Medium,Intermediate,Low
135,High,High,Beginner,High
136,Medium,Medium,Beginner,Low
137,Medium,Medium,,High
138,Low,High,Beginner,Low
139,,,,
140,Low,High,Intermediate,Medium
141,Medium,,Beginner,Low
142,,Medium,Intermediate,Low
143,High,Medium,,Low
144,Low,Low,Beginner,High
145,Low,High,,Low
146,,,,
147,Low,High,Intermediate,Medium
148,Medium,Medium,Intermediate,Medium
149,High,Medium,,High
150,High,,Intermediate,Low
151,,,,
152,Low,Low,Intermediate,High
153,High,Low,Beginner,High
154,Medium,Medium,Intermediate,Low
155,Low,Medium,Beginner,Medium
156,High,,Beginner,Medium
157,Medium,Medium,Beginner,Medium
158,High,Medium,Intermediate,Low
159,Medium,High,Beginner,High
160,,,,
161,,,,
162,,Medium,Beginner,
163,Low,Medium,Intermediate,High
164,Medium,High,Intermediate,Low
165,High,High,Intermediate,High
166,Medium,Medium,Beginner,Low
