userId,age,income_bracket,financial_goals,join_date
1,32.0,"$50,000-$75,000",Debt Freedom,1699657200.0
2,51.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1696546800.0
3,40.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1680562800.0
4,46.0,"$75,000-$100,000",Emergency Fund,1687993200.0
5,45.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1708642800.0
6,46.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1721170800.0
7,,,Investment Growth,1672614000.0
8,42.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1677020400.0
9,42.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1726354800.0
10,47.0,"$75,000-$100,000",Debt Freedom|Investment Growth,
11,39.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1709247600.0
12,40.0,"$75,000-$100,000",Retirement,1696892400.0
13,52.0,"$75,000-$100,000",Emergency Fund,1724454000.0
14,46.0,"$30,000-$50,000",Emergency Fund|Retirement,1720566000.0
15,54.0,"$30,000-$50,000",,1706396400.0
16,49.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1730156400.0
17,40.0,"$30,000-$50,000",Debt Freedom|Retirement,1712876400.0
18,,"$75,000-$100,000",,1695942000.0
19,47.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1715641200.0
20,26.0,"$30,000-$50,000",Retirement|Emergency Fund,1681167600.0
21,47.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1677452400.0
22,36.0,"$30,000-$50,000",Retirement,1726441200.0
23,44.0,"$50,000-$75,000",Retirement,1694991600.0
24,46.0,,Retirement|Debt Freedom,1703026800.0
25,34.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,
26,28.0,"$75,000-$100,000",Emergency Fund|Debt Freedom,1730761200.0
27,25.0,"$75,000-$100,000",Investment Growth,1697842800.0
28,32.0,"$50,000-$75,000",Emergency Fund,1730847600.0
29,29.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1684105200.0
30,34.0,"$50,000-$75,000",Emergency Fund,1696633200.0
31,33.0,"$50,000-$75,000",,1702422000.0
32,39.0,"$30,000-$50,000",Investment Growth,1721775600.0
33,50.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1695682800.0
34,51.0,"$50,000-$75,000",Investment Growth,1722121200.0
35,44.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1684882800.0
36,,,,1693263600.0
37,29.0,"$50,000-$75,000",Retirement|Investment Growth,1715814000.0
38,55.0,"$30,000-$50,000",Investment Growth,1693350000.0
39,28.0,"$50,000-$75,000",Debt Freedom|Retirement,1683327600.0
40,51.0,"$75,000-$100,000",Debt Freedom,1694041200.0
41,50.0,"$30,000-$50,000",Retirement,1693090800.0
42,29.0,"$75,000-$100,000",Retirement,1687906800.0
43,52.0,,Emergency Fund,1695942000.0
44,48.0,"$30,000-$50,000",Investment Growth|Retirement,1682118000.0
45,32.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1677884400.0
46,52.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1685574000.0
47,33.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1712617200.0
48,38.0,,Investment Growth,1692658800.0
49,51.0,"$50,000-$75,000",Investment Growth|Retirement,1705618800.0
50,46.0,"$30,000-$50,000",Debt Freedom,1705446000.0
51,42.0,,,1731798000.0
52,36.0,"$50,000-$75,000",Emergency Fund,1703631600.0
53,41.0,"$75,000-$100,000",Emergency Fund,1705014000.0
54,33.0,"$50,000-$75,000",Emergency Fund,1696633200.0
55,34.0,"$50,000-$75,000",Investment Growth,1728514800.0
56,27.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1701212400.0
57,43.0,"$30,000-$50,000",Debt Freedom,1731020400.0
58,44.0,"$50,000-$75,000",Emergency Fund,1697583600.0
59,43.0,"$75,000-$100,000",Investment Growth,
60,31.0,"$30,000-$50,000",Emergency Fund|Retirement,1716505200.0
61,30.0,"$75,000-$100,000",Debt Freedom|Retirement,1676242800.0
62,39.0,"$50,000-$75,000",Investment Growth|Retirement,1674342000.0
63,30.0,"$75,000-$100,000",Debt Freedom|Retirement,1694041200.0
64,37.0,"$50,000-$75,000",Retirement|Investment Growth,1679266800.0
65,28.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1729551600.0
66,32.0,"$50,000-$75,000",Debt Freedom,1728082800.0
67,49.0,"$75,000-$100,000",Emergency Fund|Debt Freedom,1713999600.0
68,34.0,"$75,000-$100,000",Emergency Fund,1675810800.0
69,51.0,"$75,000-$100,000",Investment Growth,1721516400.0
70,48.0,"$50,000-$75,000",Emergency Fund,1716850800.0
71,26.0,"$50,000-$75,000",,1729638000.0
72,32.0,"$50,000-$75,000",Emergency Fund,1697497200.0
73,49.0,"$75,000-$100,000",Debt Freedom|Retirement,1732489200.0
74,33.0,"$75,000-$100,000",,1685746800.0
75,43.0,"$50,000-$75,000",Retirement|Emergency Fund,1679958000.0
76,37.0,"$50,000-$75,000",Investment Growth,1674082800.0
77,30.0,"$50,000-$75,000",,1692486000.0
78,29.0,,Debt Freedom,1727132400.0
79,37.0,"$30,000-$50,000",Investment Growth,1704754800.0
80,32.0,"$75,000-$100,000",Retirement|Emergency Fund,1713999600.0
81,31.0,"$75,000-$100,000",,1697410800.0
82,41.0,"$30,000-$50,000",Emergency Fund,1715036400.0
83,42.0,"$75,000-$100,000",Emergency Fund,1686697200.0
84,53.0,"$50,000-$75,000",Investment Growth,1674860400.0
85,37.0,"$30,000-$50,000",Emergency Fund,1700694000.0
86,51.0,"$50,000-$75,000",Debt Freedom,1714258800.0
87,29.0,"$50,000-$75,000",Debt Freedom,1691535600.0
88,42.0,"$75,000-$100,000",Emergency Fund,1683241200.0
89,,"$75,000-$100,000",Investment Growth,1673910000.0
90,43.0,"$30,000-$50,000",Emergency Fund,1709334000.0
91,46.0,,,1719010800.0
92,50.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1705532400.0
93,25.0,"$30,000-$50,000",Emergency Fund,1703631600.0
94,51.0,"$75,000-$100,000",Retirement|Debt Freedom,1712962800.0
95,,"$30,000-$50,000",Emergency Fund|Investment Growth,1720566000.0
96,26.0,"$30,000-$50,000",Emergency Fund,1705014000.0
97,37.0,"$50,000-$75,000",Investment Growth,1705014000.0
98,41.0,"$30,000-$50,000",Investment Growth,1688425200.0
99,35.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1687215600.0
100,36.0,"$75,000-$100,000",Investment Growth|Retirement,1677538800.0
101,45.0,"$75,000-$100,000",Debt Freedom,1726268400.0
102,39.0,,Emergency Fund|Retirement,1675378800.0
103,46.0,"$50,000-$75,000",Retirement,1707692400.0
104,33.0,"$30,000-$50,000",Investment Growth,1722207600.0
105,49.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1679007600.0
106,53.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1720479600.0
107,34.0,"$75,000-$100,000",Emergency Fund,1683241200.0
108,50.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1680130800.0
109,37.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1700521200.0
110,39.0,"$75,000-$100,000",Retirement,1677366000.0
111,41.0,"$30,000-$50,000",Emergency Fund,1718406000.0
112,52.0,,Retirement|Emergency Fund,1719702000.0
113,45.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1729206000.0
114,33.0,"$75,000-$100,000",Investment Growth,1720738800.0
115,55.0,"$30,000-$50,000",Emergency Fund|Retirement,1677798000.0
116,38.0,"$30,000-$50,000",Emergency Fund,1700694000.0
117,52.0,"$50,000-$75,000",Debt Freedom|Retirement,1683327600.0
118,32.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1686610800.0
119,54.0,"$50,000-$75,000",Investment Growth,
120,53.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1703718000.0
121,,"$75,000-$100,000",Emergency Fund|Investment Growth,1682031600.0
122,53.0,"$50,000-$75,000",Debt Freedom|Retirement,1722207600.0
123,42.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1707346800.0
124,35.0,"$50,000-$75,000",Investment Growth,1676502000.0
125,,"$50,000-$75,000",Retirement,1726700400.0
126,37.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1714518000.0
127,36.0,"$30,000-$50,000",,1733353200.0
128,44.0,"$75,000-$100,000",Debt Freedom,1687561200.0
129,48.0,"$50,000-$75,000",Debt Freedom,1734476400.0
130,25.0,"$50,000-$75,000",Investment Growth,1726614000.0
131,52.0,"$75,000-$100,000",Retirement,1731106800.0
132,37.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1732748400.0
133,47.0,"$50,000-$75,000",Emergency Fund,1692399600.0
134,34.0,"$75,000-$100,000",Emergency Fund|Retirement,1696719600.0
135,43.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1697929200.0
136,27.0,"$50,000-$75,000",Retirement|Debt Freedom,1696460400.0
137,47.0,"$30,000-$50,000",Retirement,1719442800.0
138,32.0,,Debt Freedom|Emergency Fund,1672959600.0
139,54.0,"$75,000-$100,000",,1714690800.0
140,49.0,"$50,000-$75,000",Debt Freedom,1693004400.0
141,48.0,"$30,000-$50,000",Investment Growth,1688079600.0
142,26.0,"$50,000-$75,000",Emergency Fund,1673305200.0
143,44.0,"$50,000-$75,000",Retirement|Emergency Fund,1689548400.0
144,35.0,"$50,000-$75,000",Debt Freedom,1698620400.0
145,49.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1707951600.0
146,30.0,"$50,000-$75,000",Debt Freedom,1693350000.0
147,33.0,"$50,000-$75,000",Emergency Fund,1733785200.0
148,46.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1698620400.0
149,32.0,"$30,000-$50,000",Emergency Fund|Retirement,1714172400.0
150,50.0,"$30,000-$50,000",Investment Growth,1704495600.0
151,43.0,"$75,000-$100,000",Retirement,1718492400.0
152,46.0,"$75,000-$100,000",Debt Freedom|Retirement,1709247600.0
153,26.0,"$75,000-$100,000",Investment Growth,1672786800.0
154,43.0,,Debt Freedom,1678575600.0
155,40.0,,Investment Growth,1706310000.0
